Entity,Entity_Type
Global Leaders Gather,ORG
Geneva,GPE
Geneva,GPE
Switzerland,GPE
more than sixty,CARDINAL
Geneva,GPE
Thursday,DATE
three-day,DATE
the United Nations Environment Programme,ORG
Africa,LOC
Southeast Asia,LOC
Hello Kiran,PERSON
Maria Chen,PERSON
Pacific island,LOC
one hundred billion dollars,MONEY
Germany,GPE
Japan,GPE
Canada,GPE
the World Bank,ORG
California,GPE
Kenya,GPE
Vietnam,GPE
thousands,CARDINAL
the next five years,DATE
nearly twenty percent,PERCENT
half degrees,QUANTITY
Greenpeace,ORG
Saturday,DATE
Brazil,GPE
later this year,DATE
