Word,POS_Tag
Leaders,PROPN
Gather,PROPN
Geneva,PROPN
Discuss,PROPN
Climate,PROPN
Financing,PROPN
Geneva,PROPN
Switzerland,PROPN
Representatives,PROPN
countries,NOUN
met,VERB
Geneva,PROPN
Thursday,PROPN
negotiate,VERB
round,NOUN
climate,NOUN
financing,NOUN
aimed,VERB
helping,VERB
developing,VERB
nations,NOUN
transition,NOUN
energy,NOUN
day,NOUN
summit,NOUN
organized,VERB
United,PROPN
Nations,PROPN
Environment,PROPN
Programme,PROPN
brought,VERB
government,NOUN
ministers,NOUN
business,NOUN
executives,NOUN
scientists,NOUN
discuss,VERB
funding,NOUN
mechanisms,NOUN
wind,NOUN
projects,NOUN
Africa,PROPN
Southeast,PROPN
Asia,PROPN
Hello,PROPN
Kiran,PROPN
Maria,PROPN
Chen,PROPN
negotiator,NOUN
coalition,NOUN
Pacific,PROPN
island,NOUN
nations,NOUN
told,VERB
reporters,NOUN
rising,VERB
sea,NOUN
levels,NOUN
made,VERB
talks,NOUN
urged,VERB
nations,NOUN
increase,VERB
pledges,NOUN
target,NOUN
dollars,NOUN
year,NOUN
Officials,NOUN
Germany,PROPN
Japan,PROPN
Canada,PROPN
announced,VERB
contributions,NOUN
opening,NOUN
session,NOUN
World,PROPN
Bank,PROPN
confirmed,VERB
expand,VERB
infrastructure,NOUN
loan,NOUN
program,NOUN
summit,NOUN
addressed,VERB
growing,VERB
role,NOUN
investment,NOUN
Executives,NOUN
technology,NOUN
companies,NOUN
including,VERB
panel,NOUN
manufacturer,NOUN
based,VERB
California,PROPN
presented,VERB
plans,NOUN
build,VERB
factories,NOUN
Kenya,PROPN
Vietnam,PROPN
Analysts,NOUN
expect,VERB
investments,NOUN
create,VERB
thousands,NOUN
jobs,NOUN
years,NOUN
reduce,VERB
cost,NOUN
panels,NOUN
percent,NOUN
welcomed,VERB
announcements,NOUN
groups,NOUN
criticized,VERB
pace,NOUN
progress,NOUN
arguing,VERB
commitments,NOUN
fall,VERB
scientists,NOUN
say,VERB
needed,VERB
limit,VERB
warming,NOUN
half,NOUN
degrees,NOUN
Celsius,PROPN
spokesperson,NOUN
Greenpeace,PROPN
said,VERB
governments,NOUN
move,VERB
stop,VERB
approving,VERB
fossil,NOUN
fuel,NOUN
projects,NOUN
conference,NOUN
conclude,VERB
Saturday,PROPN
declaration,NOUN
expected,VERB
signed,VERB
participating,VERB
countries,NOUN
Delegates,NOUN
say,VERB
agreement,NOUN
include,VERB
review,NOUN
mechanism,NOUN
track,VERB
funds,NOUN
spent,VERB
emissions,NOUN
targets,NOUN
met,VERB
climate,NOUN
summit,NOUN
scheduled,VERB
take,VERB
place,NOUN
Brazil,PROPN
year,NOUN
